ScDsagR_148_HRSCAF_195	remanei_genome_00020083
X	remanei_genome_00004148
X	remanei_genome_00004152
X	remanei_genome_00004139
X	remanei_genome_00004140
X	remanei_genome_00004144
X	remanei_genome_00004146
X	remanei_genome_00004147
X	remanei_genome_00004149
X	remanei_genome_00004150
X	remanei_genome_00004151
X	remanei_genome_00004153
X	remanei_genome_00004142
X	remanei_genome_00004154
X	remanei_genome_00004157
X	remanei_genome_00004158
X	remanei_genome_00004162
X	remanei_genome_00004163
X	remanei_genome_00004164
X	remanei_genome_00004168
X	remanei_genome_00004169
X	remanei_genome_00004155
X	remanei_genome_00004156
X	remanei_genome_00004159
X	remanei_genome_00004160
X	remanei_genome_00004161
X	remanei_genome_00004165
X	remanei_genome_00004166
X	remanei_genome_00004167
X	remanei_genome_00004170
X	remanei_genome_00004173
X	remanei_genome_00004174
X	remanei_genome_00004179
X	remanei_genome_00004181
X	remanei_genome_00004182
X	remanei_genome_00004183
X	remanei_genome_00004184
X	remanei_genome_00004171
X	remanei_genome_00004172
X	remanei_genome_00004176
X	remanei_genome_00004177
X	remanei_genome_00004178
X	remanei_genome_00004180
X	remanei_genome_00004175
X	remanei_genome_00004189
X	remanei_genome_00004191
X	remanei_genome_00004192
X	remanei_genome_00004195
X	remanei_genome_00004196
X	remanei_genome_00004197
X	remanei_genome_00004185
X	remanei_genome_00004186
X	remanei_genome_00004187
X	remanei_genome_00004188
X	remanei_genome_00004190
X	remanei_genome_00004194
X	remanei_genome_00004199
X	remanei_genome_00004200
X	remanei_genome_00004198
X	remanei_genome_00004193
X	remanei_genome_00004206
X	remanei_genome_00004207
X	remanei_genome_00004210
X	remanei_genome_00004211
X	remanei_genome_00004212
X	remanei_genome_00004214
X	remanei_genome_00004215
X	remanei_genome_00004201
X	remanei_genome_00004202
X	remanei_genome_00004203
X	remanei_genome_00004204
X	remanei_genome_00004205
X	remanei_genome_00004208
X	remanei_genome_00004209
X	remanei_genome_00004213
X	remanei_genome_00004092
X	remanei_genome_00004097
X	remanei_genome_00004098
X	remanei_genome_00004100
X	remanei_genome_00004101
X	remanei_genome_00004093
X	remanei_genome_00004094
X	remanei_genome_00004095
X	remanei_genome_00004096
X	remanei_genome_00004099
X	remanei_genome_00004217
X	remanei_genome_00004224
X	remanei_genome_00004225
X	remanei_genome_00004226
X	remanei_genome_00004230
X	remanei_genome_00004218
X	remanei_genome_00004219
X	remanei_genome_00004220
X	remanei_genome_00004221
X	remanei_genome_00004222
X	remanei_genome_00004223
X	remanei_genome_00004227
X	remanei_genome_00004228
X	remanei_genome_00004229
X	remanei_genome_00004216
X	remanei_genome_00004232
X	remanei_genome_00004235
X	remanei_genome_00004237
X	remanei_genome_00004238
X	remanei_genome_00004239
X	remanei_genome_00004243
X	remanei_genome_00004231
X	remanei_genome_00004233
X	remanei_genome_00004234
X	remanei_genome_00004236
X	remanei_genome_00004240
X	remanei_genome_00004241
X	remanei_genome_00004242
X	remanei_genome_00004244
X	remanei_genome_00004247
X	remanei_genome_00004253
X	remanei_genome_00004255
X	remanei_genome_00004256
X	remanei_genome_00004258
X	remanei_genome_00004260
X	remanei_genome_00004263
X	remanei_genome_00004245
X	remanei_genome_00004246
X	remanei_genome_00004248
X	remanei_genome_00004249
X	remanei_genome_00004250
X	remanei_genome_00004251
X	remanei_genome_00004252
X	remanei_genome_00004254
X	remanei_genome_00004257
X	remanei_genome_00004259
X	remanei_genome_00004261
X	remanei_genome_00004262
X	remanei_genome_00004279
X	remanei_genome_00004280
X	remanei_genome_00004281
X	remanei_genome_00004284
X	remanei_genome_00004289
X	remanei_genome_00004292
X	remanei_genome_00004278
X	remanei_genome_00004282
X	remanei_genome_00004283
X	remanei_genome_00004285
X	remanei_genome_00004286
X	remanei_genome_00004287
X	remanei_genome_00004288
X	remanei_genome_00004290
X	remanei_genome_00004291
X	remanei_genome_00004293
X	remanei_genome_00004296
X	remanei_genome_00004298
X	remanei_genome_00004299
X	remanei_genome_00004294
X	remanei_genome_00004295
X	remanei_genome_00004297
X	remanei_genome_00004300
X	remanei_genome_00004266
X	remanei_genome_00004269
X	remanei_genome_00004270
X	remanei_genome_00004271
X	remanei_genome_00004273
X	remanei_genome_00004276
X	remanei_genome_00004265
X	remanei_genome_00004267
X	remanei_genome_00004268
X	remanei_genome_00004272
X	remanei_genome_00004274
X	remanei_genome_00004275
X	remanei_genome_00004277
X	remanei_genome_00004264
X	remanei_genome_00004301
X	remanei_genome_00004302
X	remanei_genome_00004303
X	remanei_genome_00004304
X	remanei_genome_00004305
X	remanei_genome_00004306
X	remanei_genome_00004307
X	remanei_genome_00004309
X	remanei_genome_00004310
X	remanei_genome_00004315
X	remanei_genome_00004318
X	remanei_genome_00004311
X	remanei_genome_00004312
X	remanei_genome_00004314
X	remanei_genome_00004316
X	remanei_genome_00004317
X	remanei_genome_00004320
X	remanei_genome_00004319
X	remanei_genome_00004308
X	remanei_genome_00004313
X	remanei_genome_00004323
X	remanei_genome_00004326
X	remanei_genome_00004327
X	remanei_genome_00004328
X	remanei_genome_00004330
X	remanei_genome_00004332
X	remanei_genome_00004333
X	remanei_genome_00004334
X	remanei_genome_00004335
X	remanei_genome_00004321
X	remanei_genome_00004322
X	remanei_genome_00004324
X	remanei_genome_00004325
X	remanei_genome_00004331
X	remanei_genome_00004336
X	remanei_genome_00004329
X	remanei_genome_00004337
X	remanei_genome_00004338
X	remanei_genome_00004339
X	remanei_genome_00004341
X	remanei_genome_00004342
X	remanei_genome_00004345
X	remanei_genome_00004346
X	remanei_genome_00004349
X	remanei_genome_00004340
X	remanei_genome_00004343
X	remanei_genome_00004347
X	remanei_genome_00004348
X	remanei_genome_00004350
X	remanei_genome_00004344
X	remanei_genome_00004366
X	remanei_genome_00004370
X	remanei_genome_00004371
X	remanei_genome_00004372
X	remanei_genome_00004374
X	remanei_genome_00004375
X	remanei_genome_00004367
X	remanei_genome_00004368
X	remanei_genome_00004369
X	remanei_genome_00004373
X	remanei_genome_00004365
X	remanei_genome_00004351
X	remanei_genome_00004353
X	remanei_genome_00004354
X	remanei_genome_00004356
X	remanei_genome_00004358
X	remanei_genome_00004363
X	remanei_genome_00004355
X	remanei_genome_00004357
X	remanei_genome_00004359
X	remanei_genome_00004360
X	remanei_genome_00004361
X	remanei_genome_00004362
X	remanei_genome_00004364
X	remanei_genome_00004352
X	remanei_genome_00004376
X	remanei_genome_00004377
X	remanei_genome_00004380
X	remanei_genome_00004382
X	remanei_genome_00004384
X	remanei_genome_00004385
X	remanei_genome_00004386
X	remanei_genome_00004387
X	remanei_genome_00004388
X	remanei_genome_00004390
X	remanei_genome_00004391
X	remanei_genome_00004392
X	remanei_genome_00004394
X	remanei_genome_00004395
X	remanei_genome_00004381
X	remanei_genome_00004389
X	remanei_genome_00004393
X	remanei_genome_00004378
X	remanei_genome_00004379
X	remanei_genome_00004383
X	remanei_genome_00004396
X	remanei_genome_00004402
X	remanei_genome_00004403
X	remanei_genome_00004405
X	remanei_genome_00004406
X	remanei_genome_00004409
X	remanei_genome_00004397
X	remanei_genome_00004399
X	remanei_genome_00004401
X	remanei_genome_00004404
X	remanei_genome_00004407
X	remanei_genome_00004408
X	remanei_genome_00004411
X	remanei_genome_00004412
X	remanei_genome_00004398
X	remanei_genome_00004410
X	remanei_genome_00004400
X	remanei_genome_00004416
X	remanei_genome_00004417
X	remanei_genome_00004419
X	remanei_genome_00004413
X	remanei_genome_00004414
X	remanei_genome_00004415
X	remanei_genome_00004420
X	remanei_genome_00004421
X	remanei_genome_00004418
X	remanei_genome_00004428
X	remanei_genome_00004431
X	remanei_genome_00004433
X	remanei_genome_00004438
X	remanei_genome_00004422
X	remanei_genome_00004423
X	remanei_genome_00004424
X	remanei_genome_00004426
X	remanei_genome_00004427
X	remanei_genome_00004429
X	remanei_genome_00004430
X	remanei_genome_00004432
X	remanei_genome_00004434
X	remanei_genome_00004435
X	remanei_genome_00004439
X	remanei_genome_00004440
X	remanei_genome_00004441
X	remanei_genome_00004425
X	remanei_genome_00004437
X	remanei_genome_00004436
X	remanei_genome_00004442
X	remanei_genome_00004444
X	remanei_genome_00004445
X	remanei_genome_00004447
X	remanei_genome_00004449
X	remanei_genome_00004454
X	remanei_genome_00004456
X	remanei_genome_00004457
X	remanei_genome_00004458
X	remanei_genome_00004459
X	remanei_genome_00004460
X	remanei_genome_00004461
X	remanei_genome_00004462
X	remanei_genome_00004463
X	remanei_genome_00004464
X	remanei_genome_00004443
X	remanei_genome_00004446
X	remanei_genome_00004448
X	remanei_genome_00004450
X	remanei_genome_00004453
X	remanei_genome_00004455
X	remanei_genome_00004451
X	remanei_genome_00004452
X	remanei_genome_00004480
X	remanei_genome_00004481
X	remanei_genome_00004483
X	remanei_genome_00004486
X	remanei_genome_00004489
X	remanei_genome_00004494
X	remanei_genome_00004497
X	remanei_genome_00004498
X	remanei_genome_00004478
X	remanei_genome_00004479
X	remanei_genome_00004482
X	remanei_genome_00004484
X	remanei_genome_00004485
X	remanei_genome_00004487
X	remanei_genome_00004488
X	remanei_genome_00004490
X	remanei_genome_00004491
X	remanei_genome_00004492
X	remanei_genome_00004495
X	remanei_genome_00004496
X	remanei_genome_00004493
X	remanei_genome_00004465
X	remanei_genome_00004466
X	remanei_genome_00004468
X	remanei_genome_00004472
X	remanei_genome_00004474
X	remanei_genome_00004475
X	remanei_genome_00004476
X	remanei_genome_00004467
X	remanei_genome_00004469
X	remanei_genome_00004470
X	remanei_genome_00004471
X	remanei_genome_00004473
X	remanei_genome_00004477
X	remanei_genome_00004518
X	remanei_genome_00004520
X	remanei_genome_00004524
X	remanei_genome_00004525
X	remanei_genome_00004526
X	remanei_genome_00004527
X	remanei_genome_00004519
X	remanei_genome_00004522
X	remanei_genome_00004523
X	remanei_genome_00004528
X	remanei_genome_00004529
X	remanei_genome_00004521
X	remanei_genome_00004500
X	remanei_genome_00004501
X	remanei_genome_00004502
X	remanei_genome_00004504
X	remanei_genome_00004506
X	remanei_genome_00004507
X	remanei_genome_00004508
X	remanei_genome_00004511
X	remanei_genome_00004513
X	remanei_genome_00004514
X	remanei_genome_00004499
X	remanei_genome_00004503
X	remanei_genome_00004505
X	remanei_genome_00004509
X	remanei_genome_00004510
X	remanei_genome_00004512
X	remanei_genome_00004517
X	remanei_genome_00004516
X	remanei_genome_00004515
X	remanei_genome_00004534
X	remanei_genome_00004536
X	remanei_genome_00004541
X	remanei_genome_00004544
X	remanei_genome_00004547
X	remanei_genome_00004549
X	remanei_genome_00004550
X	remanei_genome_00004530
X	remanei_genome_00004531
X	remanei_genome_00004532
X	remanei_genome_00004533
X	remanei_genome_00004535
X	remanei_genome_00004537
X	remanei_genome_00004538
X	remanei_genome_00004539
X	remanei_genome_00004540
X	remanei_genome_00004542
X	remanei_genome_00004543
X	remanei_genome_00004545
X	remanei_genome_00004546
X	remanei_genome_00004548
X	remanei_genome_00004551
X	remanei_genome_00004554
X	remanei_genome_00004556
X	remanei_genome_00004557
X	remanei_genome_00004558
X	remanei_genome_00004559
X	remanei_genome_00004562
X	remanei_genome_00004552
X	remanei_genome_00004555
X	remanei_genome_00004560
X	remanei_genome_00004561
X	remanei_genome_00004553
X	remanei_genome_00004595
X	remanei_genome_00004596
X	remanei_genome_00004602
X	remanei_genome_00004603
X	remanei_genome_00004604
X	remanei_genome_00004605
X	remanei_genome_00004606
X	remanei_genome_00004607
X	remanei_genome_00004598
X	remanei_genome_00004599
X	remanei_genome_00004600
X	remanei_genome_00004601
X	remanei_genome_00004608
X	remanei_genome_00004597
X	remanei_genome_00004566
X	remanei_genome_00004567
X	remanei_genome_00004568
X	remanei_genome_00004570
X	remanei_genome_00004573
X	remanei_genome_00004575
X	remanei_genome_00004579
X	remanei_genome_00004581
X	remanei_genome_00004583
X	remanei_genome_00004584
X	remanei_genome_00004585
X	remanei_genome_00004586
X	remanei_genome_00004590
X	remanei_genome_00004591
X	remanei_genome_00004593
X	remanei_genome_00004594
X	remanei_genome_00004563
X	remanei_genome_00004565
X	remanei_genome_00004569
X	remanei_genome_00004571
X	remanei_genome_00004572
X	remanei_genome_00004574
X	remanei_genome_00004576
X	remanei_genome_00004577
X	remanei_genome_00004578
X	remanei_genome_00004580
X	remanei_genome_00004582
X	remanei_genome_00004587
X	remanei_genome_00004588
X	remanei_genome_00004589
X	remanei_genome_00004592
X	remanei_genome_00004564
X	remanei_genome_00004610
X	remanei_genome_00004611
X	remanei_genome_00004612
X	remanei_genome_00004615
X	remanei_genome_00004616
X	remanei_genome_00004617
X	remanei_genome_00004618
X	remanei_genome_00004624
X	remanei_genome_00004609
X	remanei_genome_00004613
X	remanei_genome_00004614
X	remanei_genome_00004619
X	remanei_genome_00004620
X	remanei_genome_00004621
X	remanei_genome_00004622
X	remanei_genome_00004623
X	remanei_genome_00004625
X	remanei_genome_00004626
X	remanei_genome_00004627
X	remanei_genome_00004630
X	remanei_genome_00004631
X	remanei_genome_00004632
X	remanei_genome_00004635
X	remanei_genome_00004638
X	remanei_genome_00004640
X	remanei_genome_00004641
X	remanei_genome_00004643
X	remanei_genome_00004628
X	remanei_genome_00004629
X	remanei_genome_00004633
X	remanei_genome_00004634
X	remanei_genome_00004636
X	remanei_genome_00004637
X	remanei_genome_00004639
X	remanei_genome_00004642
X	remanei_genome_00004644
X	remanei_genome_00004645
X	remanei_genome_00004649
X	remanei_genome_00004650
X	remanei_genome_00004651
X	remanei_genome_00004654
X	remanei_genome_00004655
X	remanei_genome_00004656
X	remanei_genome_00004657
X	remanei_genome_00004661
X	remanei_genome_00004646
X	remanei_genome_00004647
X	remanei_genome_00004648
X	remanei_genome_00004652
X	remanei_genome_00004653
X	remanei_genome_00004658
X	remanei_genome_00004659
X	remanei_genome_00004660
X	remanei_genome_00004662
X	remanei_genome_00004665
X	remanei_genome_00004666
X	remanei_genome_00004670
X	remanei_genome_00004663
X	remanei_genome_00004664
X	remanei_genome_00004667
X	remanei_genome_00004668
X	remanei_genome_00004669
X	remanei_genome_00004671
X	remanei_genome_00004672
X	remanei_genome_00004674
X	remanei_genome_00004677
X	remanei_genome_00004680
X	remanei_genome_00004681
X	remanei_genome_00004682
X	remanei_genome_00004686
X	remanei_genome_00004673
X	remanei_genome_00004675
X	remanei_genome_00004676
X	remanei_genome_00004678
X	remanei_genome_00004679
X	remanei_genome_00004683
X	remanei_genome_00004684
X	remanei_genome_00004685
X	remanei_genome_00004687
X	remanei_genome_00004688
X	remanei_genome_00004689
X	remanei_genome_00004691
X	remanei_genome_00004692
X	remanei_genome_00004694
X	remanei_genome_00004696
X	remanei_genome_00004697
X	remanei_genome_00004698
X	remanei_genome_00004700
X	remanei_genome_00004701
X	remanei_genome_00004703
X	remanei_genome_00004704
X	remanei_genome_00004690
X	remanei_genome_00004693
X	remanei_genome_00004695
X	remanei_genome_00004699
X	remanei_genome_00004702
X	remanei_genome_00004705
X	remanei_genome_00004707
X	remanei_genome_00004715
X	remanei_genome_00004718
X	remanei_genome_00004720
X	remanei_genome_00004722
X	remanei_genome_00004706
X	remanei_genome_00004708
X	remanei_genome_00004709
X	remanei_genome_00004710
X	remanei_genome_00004711
X	remanei_genome_00004712
X	remanei_genome_00004713
X	remanei_genome_00004716
X	remanei_genome_00004717
X	remanei_genome_00004719
X	remanei_genome_00004721
X	remanei_genome_00004723
X	remanei_genome_00004724
X	remanei_genome_00004714
X	remanei_genome_00004726
X	remanei_genome_00004727
X	remanei_genome_00004729
X	remanei_genome_00004730
X	remanei_genome_00004732
X	remanei_genome_00004725
X	remanei_genome_00004728
X	remanei_genome_00004731
X	remanei_genome_00004733
X	remanei_genome_00004734
X	remanei_genome_00004735
X	remanei_genome_00004736
X	remanei_genome_00004738
X	remanei_genome_00004739
X	remanei_genome_00004742
X	remanei_genome_00004743
X	remanei_genome_00004745
X	remanei_genome_00004746
X	remanei_genome_00004737
X	remanei_genome_00004740
X	remanei_genome_00004741
X	remanei_genome_00004744
X	remanei_genome_00004764
X	remanei_genome_00004766
X	remanei_genome_00004768
X	remanei_genome_00004771
X	remanei_genome_00004772
X	remanei_genome_00004776
X	remanei_genome_00004779
X	remanei_genome_00004765
X	remanei_genome_00004767
X	remanei_genome_00004769
X	remanei_genome_00004773
X	remanei_genome_00004774
X	remanei_genome_00004775
X	remanei_genome_00004777
X	remanei_genome_00004778
X	remanei_genome_00004770
X	remanei_genome_00004748
X	remanei_genome_00004750
X	remanei_genome_00004751
X	remanei_genome_00004752
X	remanei_genome_00004754
X	remanei_genome_00004755
X	remanei_genome_00004756
X	remanei_genome_00004758
X	remanei_genome_00004760
X	remanei_genome_00004761
X	remanei_genome_00004762
X	remanei_genome_00004763
X	remanei_genome_00004747
X	remanei_genome_00004749
X	remanei_genome_00004753
X	remanei_genome_00004757
X	remanei_genome_00004759
X	remanei_genome_00004780
X	remanei_genome_00004786
X	remanei_genome_00004787
X	remanei_genome_00004789
X	remanei_genome_00004792
X	remanei_genome_00004793
X	remanei_genome_00004794
X	remanei_genome_00004797
X	remanei_genome_00004798
X	remanei_genome_00004799
X	remanei_genome_00004802
X	remanei_genome_00004781
X	remanei_genome_00004782
X	remanei_genome_00004783
X	remanei_genome_00004784
X	remanei_genome_00004785
X	remanei_genome_00004788
X	remanei_genome_00004790
X	remanei_genome_00004800
X	remanei_genome_00004801
X	remanei_genome_00004795
X	remanei_genome_00004791
X	remanei_genome_00004796
X	remanei_genome_00004829
X	remanei_genome_00004830
X	remanei_genome_00004831
X	remanei_genome_00004834
X	remanei_genome_00004835
X	remanei_genome_00004836
X	remanei_genome_00004840
X	remanei_genome_00004842
X	remanei_genome_00004850
X	remanei_genome_00004851
X	remanei_genome_00004833
X	remanei_genome_00004837
X	remanei_genome_00004838
X	remanei_genome_00004839
X	remanei_genome_00004841
X	remanei_genome_00004843
X	remanei_genome_00004844
X	remanei_genome_00004845
X	remanei_genome_00004846
X	remanei_genome_00004847
X	remanei_genome_00004848
X	remanei_genome_00004849
X	remanei_genome_00004852
X	remanei_genome_00004832
X	remanei_genome_00004803
X	remanei_genome_00004805
X	remanei_genome_00004806
X	remanei_genome_00004808
X	remanei_genome_00004809
X	remanei_genome_00004811
X	remanei_genome_00004816
X	remanei_genome_00004821
X	remanei_genome_00004823
X	remanei_genome_00004825
X	remanei_genome_00004826
X	remanei_genome_00004827
X	remanei_genome_00004804
X	remanei_genome_00004807
X	remanei_genome_00004810
X	remanei_genome_00004813
X	remanei_genome_00004814
X	remanei_genome_00004815
X	remanei_genome_00004817
X	remanei_genome_00004818
X	remanei_genome_00004819
X	remanei_genome_00004820
X	remanei_genome_00004822
X	remanei_genome_00004824
X	remanei_genome_00004828
X	remanei_genome_00004812
X	remanei_genome_00004870
X	remanei_genome_00004871
X	remanei_genome_00004873
X	remanei_genome_00004876
X	remanei_genome_00004877
X	remanei_genome_00004878
X	remanei_genome_00004883
X	remanei_genome_00004869
X	remanei_genome_00004872
X	remanei_genome_00004874
X	remanei_genome_00004875
X	remanei_genome_00004879
X	remanei_genome_00004880
X	remanei_genome_00004881
X	remanei_genome_00004884
X	remanei_genome_00004882
X	remanei_genome_00004853
X	remanei_genome_00004854
X	remanei_genome_00004855
X	remanei_genome_00004856
X	remanei_genome_00004857
X	remanei_genome_00004858
X	remanei_genome_00004859
X	remanei_genome_00004861
X	remanei_genome_00004862
X	remanei_genome_00004864
X	remanei_genome_00004860
X	remanei_genome_00004863
X	remanei_genome_00004865
X	remanei_genome_00004866
X	remanei_genome_00004867
X	remanei_genome_00004868
X	remanei_genome_00004889
X	remanei_genome_00004891
X	remanei_genome_00004892
X	remanei_genome_00004893
X	remanei_genome_00004894
X	remanei_genome_00004896
X	remanei_genome_00004885
X	remanei_genome_00004886
X	remanei_genome_00004887
X	remanei_genome_00004888
X	remanei_genome_00004890
X	remanei_genome_00004895
X	remanei_genome_00004897
X	remanei_genome_00004898
X	remanei_genome_00004899
X	remanei_genome_00004900
X	remanei_genome_00004901
X	remanei_genome_00004902
X	remanei_genome_00004903
X	remanei_genome_00004905
X	remanei_genome_00004906
X	remanei_genome_00004908
X	remanei_genome_00004909
X	remanei_genome_00004910
X	remanei_genome_00004904
X	remanei_genome_00004907
X	remanei_genome_00004912
X	remanei_genome_00004913
X	remanei_genome_00004914
X	remanei_genome_00004918
X	remanei_genome_00004921
X	remanei_genome_00004922
X	remanei_genome_00004924
X	remanei_genome_00004925
X	remanei_genome_00004926
X	remanei_genome_00004911
X	remanei_genome_00004915
X	remanei_genome_00004916
X	remanei_genome_00004917
X	remanei_genome_00004919
X	remanei_genome_00004920
X	remanei_genome_00004923
X	remanei_genome_00004929
X	remanei_genome_00004932
X	remanei_genome_00004935
X	remanei_genome_00004939
X	remanei_genome_00004942
X	remanei_genome_00004945
X	remanei_genome_00004927
X	remanei_genome_00004930
X	remanei_genome_00004931
X	remanei_genome_00004933
X	remanei_genome_00004934
X	remanei_genome_00004936
X	remanei_genome_00004937
X	remanei_genome_00004938
X	remanei_genome_00004940
X	remanei_genome_00004941
X	remanei_genome_00004943
X	remanei_genome_00004946
